brand,model,transmission,make_year,reg_year,fuel_type,engine_capacity(CC),km_driven,ownership,price,overall_cost,has_insurance,spare_key,reg_number,title
Maruti,Ciaz DELTA DIESEL 1.5,Manual,2019,01-06-2019,Diesel,1498,61329,1st owner,702000,15616,TRUE,No,HR05,2019 Maruti Ciaz DELTA DIESEL 1.5
Hyundai,VENUE S 1.4 CRDI,Manual,2020,01-10-2020,Diesel,1396,46446,1st owner,734000,14357,TRUE,No,HR26,2020 Hyundai VENUE S 1.4 CRDI
Renault,Kwid CLIMBER 1.0 AMT,Automatic,2017,01-08-2017,Petrol,999,41308,3rd owner,285000,5580,TRUE,No,HR31,2017 Renault Kwid CLIMBER 1.0 AMT
Tata,Tiago XT PETROL,Manual,2018,01-02-2018,Petrol,1199,94259,1st owner,384000,7506,TRUE,Yes,UP16,2018 Tata Tiago XT PETROL
Honda,Jazz 1.2L I-VTEC V,Manual,2016,01-12-2016,Petrol,1199,79166,1st owner,382000,7461,TRUE,No,HR51,2016 Honda Jazz 1.2L I-VTEC V
Hyundai,NEW SANTRO SPORTZ MT,Manual,2019,01-10-2019,Petrol,1086,61839,2nd owner,397000,7761,TRUE,Yes,DL10,2019 Hyundai NEW SANTRO SPORTZ MT
Maruti,Baleno SIGMA PETROL 1.2,Manual,2020,01-02-2020,Petrol,1197,46628,1st owner,522000,10205,TRUE,No,HR16,2020 Maruti Baleno SIGMA PETROL 1.2
Maruti,Wagon R 1.0 LXI CNG,Manual,2018,01-04-2018,CNG,998,87192,1st owner,374000,7317,TRUE,Yes,DL2C,2018 Maruti Wagon R 1.0 LXI CNG
Tata,NEXON XM SUNROOF DIESEL,Manual,2022,01-03-2022,Diesel,1497,45834,1st owner,804000,15299,TRUE,No,HR51,2022 Tata NEXON XM SUNROOF DIESEL
Maruti,IGNIS DELTA 1.2,Manual,2022,01-07-2022,Petrol,1197,18015,1st owner,528000,10323,TRUE,Yes,HR10,2022 Maruti IGNIS DELTA 1.2
Tata,NEXON XM SUNROOF DIESEL,Manual,2020,01-10-2020,Diesel,1497,52276,1st owner,718000,14045,TRUE,No,DL9C,2020 Tata NEXON XM SUNROOF DIESEL
Ford,FREESTYLE TITANIUM 1.2 PETROL,Manual,2018,01-06-2018,Petrol,1194,87411,2nd owner,442000,8634,TRUE,Yes,DL2C,2018 Ford FREESTYLE TITANIUM 1.2 PETROL
Maruti,IGNIS DELTA 1.2,Manual,2019,01-05-2019,Petrol,1197,47484,1st owner,431000,8416,TRUE,No,HR51,2019 Maruti IGNIS DELTA 1.2
Hyundai,VENUE S 1.2,Manual,2021,01-11-2021,Petrol,1197,19866,1st owner,765000,14949,TRUE,Yes,HR29,2021 Hyundai VENUE S 1.2
Maruti,Alto K10 VXI,Manual,2023,01-04-2023,Petrol,998,21607,1st owner,467000,9130,TRUE,No,DL7C,2023 Maruti Alto K10 VXI
Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,2015,01-11-2015,Petrol,1197,62536,1st owner,311000,6080,TRUE,No,HR26,2015 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT
MG,HECTOR SHARP 2.0 DIESEL,Manual,2019,01-11-2019,Diesel,1956,33306,1st owner,1286000,27961,TRUE,No,DL8C,2019 MG HECTOR SHARP 2.0 DIESEL
Hyundai,Creta SX AT 1.6 DIESEL,Automatic,2019,01-04-2019,Diesel,1582,67168,1st owner,1037000,22547,TRUE,Yes,HR26,2019 Hyundai Creta SX AT 1.6 DIESEL
Ford,Ecosport TITANIUM 1.5L DIESEL,Manual,2019,01-10-2019,Diesel,1498,27603,3rd owner,670000,14904,TRUE,Yes,DL10,2019 Ford Ecosport TITANIUM 1.5L DIESEL
Maruti,Baleno ZETA PETROL 1.2,Manual,2020,01-08-2020,Petrol,1197,36323,2nd owner,652000,12749,TRUE,Yes,DL10,2020 Maruti Baleno ZETA PETROL 1.2
Hyundai,Tucson 2WD MT PETROL,Manual,2018,01-04-2018,Petrol,1999,43368,1st owner,1225000,23315,TRUE,No,HR26,2018 Hyundai Tucson 2WD MT PETROL
Hyundai,Creta S 1.4 DIESEL,Manual,2019,01-07-2019,Diesel,1396,51919,2nd owner,815000,17720,TRUE,No,UP14,2019 Hyundai Creta S 1.4 DIESEL
Maruti,Ciaz ZETA 1.5 SHVS MT PETROL,Manual,2022,01-11-2022,Petrol,1462,15994,1st owner,872000,16598,TRUE,Yes,UP16,2022 Maruti Ciaz ZETA 1.5 SHVS MT PETROL
Honda,City 1.5L I-VTEC V MT,Manual,2016,01-03-2016,Petrol,1497,72308,1st owner,523000,10225,TRUE,No,DL7C,2016 Honda City 1.5L I-VTEC V MT
Honda,Amaze 1.2L I-VTEC S,Manual,2018,01-12-2018,Petrol,1199,27051,1st owner,515000,10068,TRUE,Yes,HR51,2018 Honda Amaze 1.2L I-VTEC S
Tata,TIAGO NRG PETROL,Manual,2018,01-11-2018,Petrol,1199,35764,1st owner,421000,8231,TRUE,No,DL6C,2018 Tata TIAGO NRG PETROL
Renault,Kiger RXZ TURBO MT,Manual,2021,01-04-2023,Petrol,999,46375,2nd owner,654000,12788,TRUE,No,DL7C,2021 Renault Kiger RXZ TURBO MT
KIA,SELTOS HTK PLUS 1.5,Manual,2019,01-10-2019,Petrol,,90505,1st owner,980000,18653,TRUE,No,HR26,2019 KIA SELTOS HTK PLUS 1.5
MG,HECTOR SMART 1.5 DCT PETROL,Automatic,2019,01-09-2019,Petrol,1451,14172,1st owner,1288000,24514,TRUE,No,DL1C,2019 MG HECTOR SMART 1.5 DCT PETROL
Maruti,Baleno DELTA PETROL 1.2,Manual,2020,01-03-2020,Petrol,1197,27841,1st owner,581000,11368,TRUE,No,DL5C,2020 Maruti Baleno DELTA PETROL 1.2
Tata,Safari XZ,Manual,2021,01-11-2021,Diesel,1956,30203,1st owner,1546000,29427,TRUE,Yes,DL12,2021 Tata Safari XZ
Maruti,IGNIS SIGMA 1.2,Manual,2021,01-12-2021,Petrol,1197,25742,1st owner,476000,9306,TRUE,No,HR26,2021 Maruti IGNIS SIGMA 1.2
Honda,Amaze 1.2L I-VTEC S,Manual,2015,01-01-2016,Petrol,1198,91116,2nd owner,320000,6264,TRUE,No,HR26,2015 Honda Amaze 1.2L I-VTEC S
Tata,ALTROZ XZ PETROL,Manual,2020,01-07-2020,Petrol,1199,30274,2nd owner,595000,11630,TRUE,No,DL9C,2020 Tata ALTROZ XZ PETROL
Renault,Kiger RXZ AMT,Automatic,2021,01-09-2021,Petrol,999,30195,1st owner,711000,13904,TRUE,No,HR51,2021 Renault Kiger RXZ AMT
KIA,SELTOS HTK PLUS 1.5 IMT,Manual,2022,01-10-2022,Petrol,1497,51566,1st owner,1162000,22113,TRUE,No,HR98,2022 KIA SELTOS HTK PLUS 1.5 IMT
KIA,SONET HTK PLUS 1.0 IMT,Manual,2022,01-05-2022,Petrol,998,4763,1st owner,981000,18672,TRUE,Yes,HR98,2022 KIA SONET HTK PLUS 1.0 IMT
Hyundai,NEW I20 ASTA (O) 1.2 MT,Manual,2023,01-03-2023,Petrol,1197,20051,1st owner,890000,16940,TRUE,Yes,DL7C,2023 Hyundai NEW I20 ASTA (O) 1.2 MT
Volkswagen,Polo COMFORTLINE 1.0L MPI,Manual,2019,01-02-2020,Petrol,999,68763,1st owner,534000,10440,TRUE,Yes,DL12,2019 Volkswagen Polo COMFORTLINE 1.0L MPI
Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,2015,01-11-2015,Petrol,1197,63079,3rd owner,307000,6002,TRUE,No,DL10,2015 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT
Maruti,S Cross SIGMA 1.5,Manual,2022,01-04-2022,Petrol,1462,15983,1st owner,852000,16217,TRUE,No,HR51,2022 Maruti S Cross SIGMA 1.5
Maruti,Baleno ZETA PETROL 1.2,Manual,2020,01-10-2020,Petrol,1197,55790,1st owner,626000,12239,TRUE,Yes,DL8C,2020 Maruti Baleno ZETA PETROL 1.2
